dataset,difficulty
21870_0,0.06
27325_8,0.72
11128_0,0.52
18408_0,0.03
12023_0,0.33
16282_1,0.08
19528_0,0.3
569_5,0.04
18612_0,0.07
18202_99,0.29
15658_1,0.05
16573_0,0.36
12212_1,0.26
11200_0,0.25
17935_4,0.04
13930_0,0.36
25627_1,0.57
20775_6,0.57
12773_0,0.3
19906_1,0.48
19543_0,0.27
12861_4,0.56
27178_0,0.01
16032_6,0.02
16238_0,0.63
21068_0,0.67
9983_0,0.11
10951_1,0.23
17444_1,0.1
10782_0,0.28
16597_1,0.29
14923_2,0.35
20496_0,0.14
10172_1,0.4
17360_0,0.82
15610_0,0.61
14652_0,0.61
13356_17,0.64
20049_0,0.02
10140_1,0.24
20079_1,0.69
16032_11,0.02
23356_3,0.2
11705_1,0.05
12181_0,0.31
10158_4,0.68
23859_4,0.58
11611_3,0.34
11610_5,0.17
10112_1,0.41
10127_0,0.12
11052_0,0.15
16328_1,0.19
16659_10,0.67
14312_6,0.45
2250_2,0.39
26404_2,0.67
17321_1,0.58
12627_0,0.48
599_3,0.07
11021_0,0.21
10091_0,0.53
10000_0,0.67
10225_0,0.75
21273_1,0.25
10078_0,0.57
29010_0,0.43
10535_1,0.12
27037_0,0.51
22346_2,0.11
28198_0,0.18
16884_0,0.08
16629_2,0.09
19110_0,0.18
10307_2,0.07
14181_0,0.57
12270_1,0.0
20934_0,0.7
2241_1,0.53
14894_1,0.13
24143_0,0.48
11162_1,0.39
24325_3,0.65
11796_0,0.31
23585_1,0.34
20503_0,0.04
22176_0,0.51
18012_2,0.55
685_0,0.23
15738_3,0.76
26404_3,0.57
15354_0,0.69
13548_0,0.03
12649_0,0.05
10454_2,0.19
15767_0,0.77
22998_4,0.61
20848_4,0.28
175_0,0.17
23459_1,0.64
559_2,0.04
11444_1,0.63
15332_0,0.03
21653_0,0.34
12169_0,0.11
12425_0,0.55
14916_2,0.34
10288_0,0.22
18962_0,0.6
10032_0,0.02
10129_0,0.1
12594_0,0.64
12018_0,0.3
12182_0,0.64
10654_0,0.09
19764_2,0.15
20429_4,0.0
18317_1,0.0
17856_3,0.34
20136_2,0.0
20021_0,0.02
12212_2,0.62
21934_1,0.19
12727_1,0.32
26579_5,0.74
12324_5,0.63
25221_1,0.63
20311_0,0.65
26988_16,0.09
14545_0,0.72
10856_0,0.32
26628_16,0.33
11768_2,0.12
10556_2,0.02
14652_4,0.38
18337_1,0.05
10801_1,0.17
28930_0,0.18
9952_0,0.57
17301_1,0.22
15631_0,0.41
18285_1,0.37
12261_0,0.52
10410_0,0.58
18495_5,0.18
10875_0,0.23
13908_4,0.6
18408_1,0.34
16982_0,0.64
16855_6,0.4
16935_1,0.01
12393_1,0.88
11391_0,0.52
9995_3,0.28
26016_2,0.0
17312_0,0.05
14916_1,0.36
26186_0,0.02
18829_4,0.36
21198_4,0.52
18596_0,0.16
16016_0,0.45
19714_30,0.59
12410_22,0.44
18202_81,0.28
25664_0,0.18
17791_4,0.16
13454_0,0.3
19744_1,0.34
21879_0,0.25
18803_0,0.54
11178_15,0.63
16131_0,0.0
15964_6,0.43
14609_1,0.72
10106_0,0.22
9966_2,0.46
15125_1,0.36
24321_4,0.59
21251_1,0.2
12532_1,0.41
26976_1,0.41
370_0,0.2
11111_3,0.05
11829_0,0.39
28000_25,0.0
15307_1,0.56
11035_2,0.41
10123_0,0.05
24238_0,0.14
15162_1,0.55
20775_5,0.48
20012_0,0.59
21330_0,0.04
18292_0,0.62
10259_3,0.02
15019_4,0.06
28161_0,0.67
15531_4,0.2
16761_3,0.46
22621_2,0.69
26404_4,0.62
19019_2,0.49
14391_1,0.36
13356_4,0.67
20651_0,0.57
14945_5,0.69
14412_0,0.54
14142_1,0.52
24390_0,0.55
20134_0,0.5
19045_0,0.15
22941_0,0.32
14386_2,0.7
611_0,0.35
24385_2,0.12
19048_2,0.67
26362_12,0.3
18465_0,0.27
10259_4,0.15
27289_1,0.09
12101_0,0.38
27596_18,0.81
11916_0,0.08
24999_1,0.57
10267_4,0.48
11663_0,0.14
19906_0,0.33
16117_0,0.18
23039_0,0.07
10161_0,0.12
18029_0,0.27
20672_0,0.24
9940_0,0.53
26361_0,0.28
26669_21,0.04
11765_0,0.66
19313_0,0.6
10349_1,0.56
16203_20,0.14
15189_0,0.62
14299_0,0.85
19755_0,0.54
17674_1,0.31
13791_0,0.18
10006_2,0.56
10292_1,0.04
11818_0,0.3
14312_5,0.37
11746_1,0.09
20049_4,0.0
18808_1,0.01
13654_1,0.01
10080_2,0.28
18202_101,0.3
14595_4,0.36
25818_3,0.06
14959_2,0.64
26514_0,0.29
13712_4,0.67
10117_2,0.6
21874_5,0.0
13876_0,0.06
10632_5,0.01
11362_2,0.12
15723_1,0.02
17659_0,0.21
11112_2,0.15
19392_1,0.59
12208_0,0.39
15394_0,0.68
16473_6,0.05
14078_0,0.55
18202_29,0.37
22620_0,0.09
16598_0,0.17
21894_1,0.56
14541_1,0.62
10140_0,0.02
25381_0,0.11
2251_4,0.27
24036_2,0.4
14151_8,0.4
27850_1,0.18
21273_0,0.01
12836_0,0.17
10701_1,0.14
10291_2,0.61
14433_6,0.72
21564_0,0.24
10170_2,0.6
13815_4,0.04
18173_1,0.03
16341_1,0.43
21516_0,0.53
14643_6,0.39
14978_3,0.34
645_0,0.54
18638_12,0.74
10000_1,0.46
14010_0,0.06
15835_0,0.62
15161_6,0.4
25489_0,0.01
19692_0,0.2
10547_1,0.5
12687_1,0.22
11487_7,0.38
17230_0,0.24
27414_0,0.35
16105_0,0.38
9995_2,0.52
10267_3,0.53
26123_0,0.15
16663_0,0.03
11487_9,0.79
26988_0,0.4
20727_0,0.21
10772_0,0.56
16032_13,0.02
26628_4,0.42
15442_3,0.77
13462_0,0.01
27509_0,0.03
18003_2,0.32
13663_0,0.63
17621_0,0.36
25517_0,0.02
20079_0,0.51
27834_1,0.34
22306_0,0.0
22911_0,0.38
11546_0,0.02
14616_5,0.24
20014_2,0.36
11476_0,0.48
585_1,0.15
15351_1,0.49
16485_0,0.09
10111_1,0.61
13472_0,0.21
11876_0,0.0
20495_3,0.49
10511_0,0.59
17723_0,0.38
16916_1,0.75
26036_0,0.41
10942_0,0.53
18872_4,0.18
22046_0,0.35
20358_0,0.29
11303_2,0.32
10102_1,0.59
14534_24,0.59
24988_0,0.04
16299_0,0.59
12204_0,0.44
15161_9,0.37
12500_1,0.34
20896_0,0.32
23436_2,0.38
18405_2,0.58
12270_2,0.44
14650_0,0.21
10741_2,0.25
14763_1,0.61
17887_1,0.08
20742_0,0.1
19714_0,0.02
17669_0,0.47
16109_0,0.26
26762_4,0.31
2199_8,0.01
27596_19,0.81
12700_0,0.38
15833_0,0.27
10400_4,0.43
13557_1,0.46
21100_1,0.71
16641_0,0.25
11452_5,0.0
12093_5,0.05
12855_4,0.49
11555_2,0.35
15387_1,0.34
17059_3,0.52
15011_1,0.16
28000_21,0.65
20109_7,0.56
11235_5,0.15
23327_0,0.11
21537_2,0.54
16597_0,0.19
18829_1,0.03
18202_90,0.34
20239_4,0.57
17059_1,0.58
11269_4,0.12
12726_0,0.54
14106_0,0.53
22660_2,0.4
25442_1,0.08
12103_1,0.64
16238_6,0.74
26362_11,0.55
22070_1,0.27
16028_0,0.51
14385_0,0.53
12270_0,0.01
22486_0,0.68
14534_20,0.0
12689_19,0.0
10774_1,0.4
18387_1,0.76
16680_0,0.25
20312_0,0.12
11362_0,0.2
21415_0,0.62
11989_0,0.0
13537_3,0.33
10259_5,0.14
10088_3,0.57
19444_0,0.21
15625_0,0.56
15708_0,0.39
14256_2,0.55
19906_2,0.52
17173_2,0.36
19764_3,0.26
11392_2,0.04
15161_10,0.33
16203_16,0.13
17951_0,0.06
20678_0,0.01
10673_2,0.48
9967_1,0.33
13537_2,0.44
10602_0,0.66
25560_1,0.32
27909_2,0.01
20956_1,0.64
11477_0,0.42
16418_4,0.01
25829_8,0.22
21453_1,0.09
11746_0,0.17
10285_0,0.09
12748_1,0.18
15114_0,0.63
13532_0,0.04
26033_0,0.43
22371_0,0.1
17371_0,0.66
15006_1,0.21
682_0,0.44
11599_0,0.18
18104_0,0.27
10943_10,0.65
10613_0,0.37
14762_0,0.34
15742_3,0.57
20919_0,0.35
13033_0,0.02
14160_0,0.28
21594_3,0.0
14125_0,0.6
18629_0,0.02
12969_0,0.55
17580_4,0.03
2248_0,0.33
10689_0,0.0
19714_24,0.25
15742_0,0.64
26598_0,0.56
14475_0,0.01
10169_0,0.49
28000_11,0.49
22264_3,0.25
26426_1,0.52
20800_1,0.03
11297_1,0.04
26628_15,0.6
20138_0,0.16
14419_0,0.76
19048_5,0.43
25585_0,0.0
14616_2,0.16
19311_0,0.01
10149_1,0.2
18308_0,0.66
13968_2,0.25
16473_4,0.12
16881_0,0.55
25544_0,0.47
15463_9,0.0
14945_17,0.71
24137_0,0.57
19596_0,0.13
18104_1,0.38
12182_1,0.59
21397_0,0.59
16392_3,0.06
12831_0,0.5
18872_6,0.17
11185_0,0.54
15431_0,0.05
11950_1,0.59
18849_2,0.56
27596_3,0.66
19998_3,0.69
10378_0,0.24
23325_0,0.03
15228_0,0.41
14581_0,0.28
17233_1,0.32
2211_0,0.63
25166_0,0.04
10301_1,0.41
10701_19,0.18
15021_7,0.51
15331_0,0.28
2236_0,0.17
16032_0,0.02
27174_4,0.03
13318_3,0.06
16145_0,0.38
19714_28,0.61
10774_0,0.43
13349_3,0.17
2195_0,0.34
18275_1,0.61
12200_2,0.2
12717_0,0.56
18347_9,0.14
18171_1,0.62
15492_2,0.02
13918_0,0.07
21221_0,0.17
10276_0,0.45
18110_0,0.37
20790_0,0.43
18753_0,0.66
10226_0,0.6
19166_0,0.2
10198_0,0.13
15024_0,0.02
26988_3,0.52
12233_1,0.5
17159_0,0.51
11611_4,0.71
19264_2,0.6
22882_0,0.2
18262_0,0.5
19714_27,0.0
27325_7,0.78
17331_0,0.64
18495_4,0.22
13567_1,0.26
17128_1,0.29
22656_0,0.65
15631_5,0.04
16187_0,0.82
2251_2,0.52
13914_4,0.45
20548_0,0.21
25949_3,0.56
2250_4,0.06
378_0,0.19
14017_0,0.59
678_1,0.22
14386_1,0.74
378_4,0.43
21024_1,0.42
18711_0,0.14
651_0,0.31
21874_0,0.0
2181_0,0.59
20396_2,0.65
10863_3,0.56
26628_1,0.36
20382_1,0.56
21797_2,0.03
699_0,0.43
23512_1,0.59
19665_3,0.26
2207_0,0.44
22555_1,0.55
18612_1,0.08
23420_0,0.47
14941_0,0.53
22555_0,0.23
10307_3,0.53
11020_0,0.83
11786_0,0.59
13942_4,0.48
12303_0,0.23
26800_0,0.31
10420_0,0.13
18202_107,0.23
10335_2,0.52
599_2,0.2
22197_1,0.45
13461_0,0.01
22339_0,0.37
18870_1,0.49
11738_1,0.15
12871_0,0.28
11920_1,0.13
13472_1,0.72
16326_0,0.47
23829_4,0.32
27869_0,0.49
18808_2,0.02
10177_0,0.6
12410_5,0.4
16878_0,0.31
14833_0,0.65
20109_4,0.62
27883_0,0.18
24144_2,0.18
21390_1,0.71
10903_1,0.08
16378_2,0.3
18347_8,0.07
16426_1,0.51
10072_5,0.58
12434_4,0.54
11836_0,0.58
11435_0,0.23
21046_1,0.38
18151_0,0.24
24105_0,0.47
10117_1,0.58
11490_0,0.29
17839_1,0.59
10166_0,0.31
13455_0,0.02
28930_1,0.23
11269_3,0.31
12640_0,0.15
12500_0,0.38
12967_1,0.04
16896_0,0.65
14945_15,0.69
10865_0,0.22
570_1,0.19
27596_24,0.06
19059_0,0.02
16761_4,0.61
19392_4,0.22
13337_2,0.56
14663_0,0.26
10252_1,0.38
13356_14,0.62
27155_0,0.13
27596_11,0.65
17997_0,0.42
604_0,0.34
15964_0,0.24
15060_0,0.33
26551_3,0.33
19961_1,0.37
15354_1,0.58
12555_0,0.03
22432_0,0.39
14497_3,0.53
16955_2,0.0
11041_2,0.56
17435_0,0.32
27247_1,0.1
20801_1,0.23
11229_0,0.51
12161_0,0.28
16421_1,0.0
17731_0,0.52
19664_0,0.02
12301_0,0.04
27778_0,0.23
15446_3,0.04
27689_0,0.58
14222_0,0.43
11484_0,0.36
27439_0,0.64
2191_0,0.04
14268_0,0.61
12093_11,0.51
27596_42,0.77
16267_1,0.61
14888_4,0.45
15082_1,0.85
22736_0,0.27
17791_1,0.41
15731_5,0.22
14854_0,0.64
10684_3,0.62
16941_1,0.77
20930_2,0.38
17997_1,0.19
27596_0,0.65
16236_7,0.7
17791_0,0.31
26628_20,0.46
23182_0,0.4
19476_1,0.56
25829_3,0.54
16439_4,0.77
27281_0,0.29
23227_1,0.32
13460_1,0.43
21677_3,0.65
27037_2,0.52
11783_0,0.61
19714_3,0.12
12120_0,0.58
13712_3,0.68
2183_0,0.26
15477_0,0.24
19714_39,0.56
21264_0,0.82
11297_2,0.27
10644_4,0.69
23737_1,0.55
18704_2,0.53
11128_3,0.02
19729_4,0.43
10172_0,0.56
16784_0,0.09
20550_1,0.59
25809_0,0.47
9991_2,0.59
21797_0,0.03
2246_0,0.16
12324_0,0.57
698_2,0.05
16203_25,0.1
27928_0,0.27
12738_0,0.56
15339_0,0.6
18469_0,0.1
27579_0,0.22
11575_1,0.43
20801_2,0.62
13654_7,0.02
11303_4,0.66
20202_1,0.39
11891_0,0.61
27596_9,0.6
27863_0,0.64
21335_0,0.16
378_2,0.19
11183_0,0.13
17621_4,0.02
14143_0,0.51
20601_0,0.63
16511_0,0.32
21024_3,0.31
20016_0,0.23
13715_1,0.12
16473_5,0.09
17338_0,0.03
12724_2,0.55
26551_4,0.46
10512_2,0.39
14978_1,0.52
16035_0,0.35
18363_0,0.0
21156_2,0.47
18971_17,0.04
25040_1,0.38
23483_0,0.35
15858_7,0.74
13829_0,0.01
14129_1,0.64
11297_9,0.08
21212_1,0.31
16203_17,0.2
26628_11,0.33
22751_1,0.49
19157_1,0.76
15161_4,0.14
2248_2,0.19
26549_0,0.63
254_0,0.13
11132_2,0.61
17862_0,0.14
13970_0,0.26
19370_0,0.01
20365_1,0.14
12855_1,0.48
14038_0,0.35
10701_7,0.09
12203_0,0.63
17774_1,0.37
26199_0,0.54
18495_3,0.56
18210_0,0.41
23165_2,0.75
18829_2,0.56
24322_0,0.61
12410_18,0.48
20382_8,0.63
11472_0,0.32
21276_0,0.31
11968_0,0.05
21594_5,0.0
13689_0,0.48
22867_0,0.66
14807_0,0.11
11111_1,0.2
9931_0,0.22
19498_2,0.08
21303_1,0.45
13356_3,0.72
19949_0,0.29
13423_1,0.49
13327_1,0.67
12969_1,0.55
20775_0,0.48
14462_0,0.14
13159_4,0.0
13712_1,0.68
10673_1,0.32
11672_0,0.19
11297_0,0.02
13947_0,0.74
11132_3,0.69
14022_1,0.72
19478_0,0.54
26762_1,0.55
14609_2,0.69
13345_3,0.07
14609_0,0.56
16171_1,0.08
18774_0,0.19
14354_2,0.87
25903_1,0.62
10301_0,0.69
12948_0,0.44
16600_1,0.38
12156_0,0.01
21973_2,0.03
18495_0,0.45
27866_2,0.04
14650_1,0.56
13375_0,0.23
15701_0,0.62
19475_4,0.05
12619_0,0.04
10181_2,0.41
26404_0,0.53
19053_0,0.24
27709_2,0.47
22507_1,0.25
23040_0,0.01
18411_1,0.37
26551_1,0.22
19367_0,0.26
21776_3,0.16
10791_5,0.44
612_0,0.24
19251_0,0.45
10335_0,0.28
19309_7,0.0
14959_0,0.44
26793_2,0.51
20049_1,0.06
19533_2,0.54
17111_1,0.49
25018_0,0.25
14534_1,0.25
16526_0,0.68
18149_0,0.58
13796_0,0.07
13398_0,0.15
28000_3,0.57
378_3,0.53
21666_0,0.17
11181_5,0.47
21594_10,0.29
21888_2,0.41
10128_0,0.49
14945_11,0.66
20469_0,0.06
20237_0,0.13
22226_0,0.03
14157_3,0.45
11112_0,0.0
13796_2,0.41
16916_2,0.63
18437_0,0.54
11128_1,0.02
639_1,0.53
11616_0,0.17
13920_0,0.18
24152_0,0.5
27404_0,0.23
11939_0,0.28
14541_2,0.56
18952_2,0.31
26669_41,0.28
13569_0,0.19
14671_0,0.44
10030_0,0.23
17905_0,0.21
15758_1,0.05
12410_2,0.49
10252_4,0.56
10046_0,0.16
13754_0,0.41
9958_1,0.07
16203_12,0.16
24265_0,0.32
12806_0,0.47
294_0,0.04
21894_0,0.59
21776_1,0.16
18262_1,0.56
25647_9,0.59
18837_0,0.58
386_1,0.39
18330_0,0.57
18161_0,0.21
115_1,0.03
10241_0,0.02
26669_49,0.47
22022_0,0.37
11083_0,0.2
20136_6,0.02
19828_0,0.4
19692_3,0.19
10654_2,0.55
20131_0,0.65
28930_6,0.69
17264_2,0.27
18532_0,0.24
14299_7,0.78
19727_0,0.61
20952_0,0.58
18303_4,0.0
27415_4,0.53
11811_17,0.68
26923_0,0.01
14647_0,0.49
15611_0,0.2
22473_2,0.53
15325_0,0.42
26669_39,0.14
18843_0,0.81
14157_2,0.47
26362_8,0.28
21048_1,0.63
10673_0,0.64
14022_3,0.23
16932_1,0.08
12816_3,0.1
577_0,0.03
27692_0,0.27
11112_1,0.48
17503_1,0.54
14916_0,0.35
26579_1,0.17
18971_9,0.43
11575_0,0.49
15731_4,0.43
14226_1,0.05
12122_0,0.61
27596_41,0.73
14643_3,0.56
18258_1,0.48
25221_2,0.61
12410_0,0.05
25560_0,0.56
11975_1,0.37
21156_6,0.18
15450_1,0.28
11662_0,0.47
12634_0,0.3
21874_7,0.0
20239_1,0.64
10063_0,0.05
18337_4,0.02
15955_1,0.3
12288_4,0.59
16473_7,0.02
12182_2,0.69
10026_0,0.44
2193_0,0.03
11180_1,0.3
25410_0,0.16
28062_0,0.61
21254_1,0.55
18411_0,0.41
22397_5,0.38
16418_1,0.1
22473_1,0.55
14151_4,0.69
26919_0,0.12
12355_0,0.03
14093_0,0.36
21412_0,0.01
18202_96,0.38
27325_1,0.72
14794_0,0.64
10125_0,0.57
10856_2,0.57
22302_0,0.44
15437_0,0.43
27037_4,0.39
14616_6,0.34
16032_9,0.02
21024_4,0.49
12062_0,0.02
28391_0,0.25
25221_0,0.62
10130_1,0.33
21893_0,0.3
10512_1,0.51
25829_1,0.32
10307_1,0.16
16378_1,0.5
18337_0,0.71
10689_1,0.0
10673_8,0.77
16439_3,0.63
24321_3,0.68
9966_1,0.25
11785_0,0.53
18944_0,0.0
2250_3,0.38
12410_7,0.48
16711_1,0.04
13540_0,0.58
10943_6,0.48
13699_1,0.37
11662_13,0.66
671_0,0.16
14125_3,0.34
17827_0,0.63
12537_0,0.21
18408_3,0.13
10680_0,0.45
18062_7,0.47
22717_0,0.58
25647_1,0.58
21145_0,0.33
26669_50,0.05
10020_0,0.69
27325_0,0.62
19858_0,0.04
21700_3,0.3
11508_0,0.36
420_0,0.0
16747_1,0.06
12950_1,0.2
18932_0,0.47
2190_0,0.52
20114_0,0.5
11183_1,0.04
13968_0,0.49
17301_0,0.62
14452_1,0.38
16659_4,0.79
14972_0,0.76
11826_0,0.0
12410_12,0.08
19396_3,0.24
11865_0,0.01
20740_0,0.61
12111_0,0.69
17235_9,0.54
12359_3,0.59
19616_1,0.09
22685_1,0.25
17154_5,0.65
18974_2,0.23
14534_4,0.56
359_0,0.0
15362_0,0.39
10255_0,0.01
22998_2,0.56
10201_3,0.74
16207_1,0.21
12101_1,0.45
9995_0,0.21
26891_0,0.35
15415_5,0.4
15758_0,0.02
19331_2,0.53
16659_11,0.14
20403_0,0.26
14307_0,0.66
14902_0,0.41
21615_1,0.0
22685_4,0.41
24154_0,0.66
2176_0,0.26
26628_7,0.36
19505_7,0.3
17643_0,0.28
10634_0,0.69
23983_0,0.54
11205_0,0.53
11589_0,0.31
10589_0,0.3
11946_1,0.62
20049_3,0.0
17059_2,0.67
28280_0,0.12
25607_1,0.28
20987_12,0.28
15446_2,0.0
14650_3,0.41
15946_1,0.62
14604_0,0.5
17118_0,0.23
26669_48,0.43
21453_7,0.68
12822_1,0.29
25607_3,0.52
22373_0,0.32
21453_6,0.67
14421_0,0.0
10079_0,0.22
23390_0,0.26
687_0,0.28
14643_10,0.58
15372_0,0.52
19714_25,0.54
17446_1,0.05
11705_2,0.06
18619_0,0.58
19341_0,0.83
19555_0,0.42
10635_1,0.58
14643_11,0.71
14419_2,0.56
20126_0,0.48
11950_0,0.58
10022_0,0.39
11906_1,0.01
12370_0,0.6
26002_0,0.61
10644_0,0.53
21254_0,0.45
25538_0,0.63
27596_8,0.58
21609_0,0.36
10760_0,0.43
10201_2,0.42
17887_2,0.64
632_1,0.33
26762_0,0.57
26404_7,0.23
20429_2,0.03
23919_0,0.54
15977_3,0.12
22987_1,0.22
10193_0,0.55
22656_1,0.6
19061_0,0.47
9958_2,0.46
26586_0,0.64
21277_0,0.17
12579_0,0.08
17840_4,0.03
15299_0,0.01
11973_0,0.48
12648_0,0.5
26669_29,0.71
16507_1,0.74
10050_0,0.29
10943_8,0.69
20557_0,0.09
10255_5,0.0
14433_7,0.78
15232_1,0.64
16203_13,0.43
13331_1,0.37
15070_7,0.64
21171_0,0.28
12248_1,0.03
22073_1,0.08
10052_0,0.03
2228_0,0.72
11337_0,0.65
18012_6,0.26
263_0,0.02
20327_1,0.08
17602_0,0.36
20987_8,0.08
20338_0,0.59
11908_0,0.39
21566_0,0.7
12751_1,0.17
21807_1,0.39
22105_1,0.34
18267_0,0.3
14888_2,0.34
25479_0,0.73
14863_0,0.5
16203_32,0.12
21486_2,0.75
21212_2,0.27
20159_0,0.05
13007_0,0.62
773_0,0.6
17512_0,0.01
11949_1,0.13
2251_6,0.63
11885_0,0.7
22240_0,0.48
11770_1,0.62
18408_2,0.52
26669_22,0.15
16186_1,0.2
10266_0,0.13
10244_0,0.15
14160_1,0.31
20497_1,0.02
10968_1,0.01
12806_1,0.39
10094_2,0.19
27596_38,0.56
16807_1,0.18
23829_1,0.36
19714_18,0.69
19656_0,0.43
20480_0,0.09
25383_1,0.0
13808_5,0.15
11376_0,0.26
11337_1,0.11
26362_0,0.08
17771_0,0.53
11181_3,0.23
15064_1,0.03
2221_0,0.55
17540_0,0.47
14256_0,0.27
27596_28,0.69
13815_2,0.19
26935_0,0.15
17235_2,0.46
21389_0,0.46
21036_0,0.09
21415_2,0.61
14470_0,0.47
23741_0,0.6
14945_6,0.7
18335_0,0.46
22022_4,0.49
16548_0,0.52
12379_3,0.25
20997_2,0.39
12746_0,0.33
20497_3,0.19
23439_6,0.59
24325_2,0.07
15442_0,0.81
10198_1,0.09
23629_2,0.4
20239_3,0.54
2233_1,0.5
11869_0,0.15
15799_0,0.35
585_3,0.08
15613_0,0.34
21615_4,0.04
17439_1,0.62
16032_5,0.02
11372_0,0.38
15631_7,0.25
11395_3,0.64
16049_0,0.01
18202_91,0.16
18891_0,0.31
12861_0,0.65
12967_0,0.22
14780_0,0.7
21461_0,0.6
12868_0,0.37
24085_0,0.4
10692_0,0.21
14995_2,0.74
10701_16,0.69
18616_3,0.57
26133_0,0.5
12451_0,0.2
15461_0,0.54
22587_0,0.31
13699_0,0.48
27174_2,0.58
16950_0,0.63
10512_6,0.17
25554_2,0.25
2251_1,0.65
20359_0,0.48
17791_3,0.64
12399_0,0.02
15343_1,0.55
16855_5,0.45
10579_0,0.68
26069_0,0.43
19476_0,0.6
11921_0,0.4
10616_0,0.19
21988_1,0.36
12057_1,0.85
362_1,0.25
25286_5,0.23
17844_1,0.32
12348_0,0.22
20136_4,0.0
10059_3,0.06
14038_3,0.17
17235_7,0.45
16480_0,0.59
14915_0,0.05
10739_0,0.21
14897_0,0.34
22397_8,0.34
14731_0,0.38
10252_0,0.58
22208_3,0.01
10288_1,0.32
27655_0,0.14
26352_1,0.65
9975_0,0.4
26669_23,0.53
16246_1,0.04
585_4,0.06
20153_0,0.38
11558_0,0.37
19657_0,0.14
17090_2,0.56
10778_0,0.7
24181_1,0.51
27043_4,0.86
10970_0,0.47
11994_3,0.38
12335_0,0.71
17594_21,0.16
16097_0,0.49
22236_0,0.44
15798_0,0.37
16203_23,0.12
12233_0,0.69
19754_0,0.37
26448_0,0.46
13356_24,0.69
11476_4,0.46
12251_0,0.27
18012_3,0.45
11390_0,0.13
2181_1,0.57
15161_18,0.39
15232_5,0.7
14422_1,0.59
14534_9,0.0
22470_0,0.03
19505_5,0.35
10464_0,0.46
12093_10,0.05
17344_1,0.75
13579_1,0.66
657_0,0.01
15670_0,0.29
14391_2,0.37
16203_22,0.12
10130_0,0.2
11476_2,0.62
22407_0,0.37
12041_1,0.32
26976_0,0.47
16188_0,0.02
10464_2,0.61
13879_0,0.6
10673_4,0.55
2368_1,0.3
10286_2,0.03
15343_0,0.05
10147_2,0.1
11116_0,0.59
23043_0,0.03
10214_1,0.12
10876_0,0.49
17682_0,0.55
10984_0,0.49
17621_2,0.5
10972_0,0.01
352_0,0.45
17601_0,0.23
10174_0,0.6
27454_0,0.11
25829_7,0.31
15021_0,0.4
26516_0,0.49
13815_1,0.32
17166_0,0.2
18277_0,0.17
26587_0,0.2
13654_5,0.03
19714_35,0.1
25647_6,0.59
14571_0,0.81
27596_29,0.8
2246_2,0.56
26448_1,0.23
10073_0,0.49
10104_0,0.52
19447_0,0.02
12919_0,0.28
21453_4,0.54
20544_3,0.72
11977_0,0.52
21995_4,0.49
22185_1,0.05
581_0,0.03
15383_0,0.47
15977_1,0.07
115_0,0.11
11920_2,0.11
13552_1,0.46
15228_3,0.41
16968_0,0.11
12233_4,0.2
609_0,0.04
26988_10,0.18
23249_4,0.63
15672_1,0.36
25003_1,0.52
2234_0,0.45
12414_2,0.63
27352_0,0.42
25040_3,0.53
27596_33,0.76
12330_0,0.25
18716_0,0.52
10210_0,0.26
10170_0,0.23
2224_0,0.32
11863_1,0.13
14256_1,0.04
24137_1,0.54
10306_0,0.39
13974_0,0.11
14421_1,0.84
16237_0,0.55
2198_0,0.36
12389_0,0.28
13603_0,0.22
25554_0,0.24
15492_1,0.04
20495_1,0.66
22397_3,0.58
271_0,0.41
15091_0,0.06
11126_0,0.7
14193_3,0.44
21700_0,0.07
16372_0,0.69
10241_1,0.02
10773_0,0.48
15449_0,0.16
10057_0,0.2
19498_0,0.03
17446_0,0.15
19528_3,0.0
19692_1,0.39
14534_7,0.38
17936_1,0.41
11178_10,0.22
20362_0,0.16
21599_4,0.75
18202_88,0.33
18843_1,0.69
17963_0,0.01
21377_0,0.29
13815_0,0.03
19712_2,0.17
14354_14,0.62
14010_6,0.02
14191_1,0.01
27825_2,0.39
27596_27,0.6
14452_0,0.57
614_0,0.17
16049_1,0.62
21343_0,0.47
20469_6,0.58
26201_0,0.26
27325_4,0.83
632_0,0.34
12248_0,0.48
19714_8,0.02
10924_1,0.54
18173_0,0.49
16330_1,0.16
12515_0,0.42
12410_1,0.1
12410_34,0.66
17621_1,0.57
2180_0,0.57
25208_0,0.14
10791_2,0.51
12652_2,0.06
10033_0,0.68
16539_1,0.3
12517_0,0.36
12897_0,0.59
698_3,0.07
19325_0,0.36
14125_2,0.45
20997_1,0.47
17840_0,0.38
12809_0,0.51
27596_4,0.58
14312_10,0.32
11551_0,0.0
14759_0,0.54
10303_0,0.48
27176_0,0.51
18202_106,0.19
18971_4,0.3
14954_0,0.32
19863_0,0.04
18206_9,0.09
16238_5,0.74
19490_0,0.12
18677_0,0.18
11876_4,0.16
23449_0,0.29
10726_1,0.69
12539_0,0.03
20497_0,0.17
2234_3,0.24
22399_0,0.62
16743_0,0.37
23586_0,0.51
13990_3,0.01
13843_0,0.78
11986_0,0.31
21557_0,0.36
10255_6,0.32
12586_2,0.0
11262_0,0.15
18974_0,0.12
19714_33,0.26
12359_0,0.76
13356_16,0.63
14144_0,0.65
10093_0,0.19
17360_1,0.82
15613_1,0.1
10582_2,0.46
18007_0,0.35
683_1,0.2
15463_0,0.55
19658_1,0.62
